fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-07-03,2015-06-26,2015-06-29,2015-12-16,120,0.5583333333333333,0.5583333333333333,0.0005222565299949013,0.6326887402399582
2,2012-07-03,2015-12-16,2015-12-17,2016-06-09,120,0.5666666666666667,0.5666666666666667,0.0018719570726171946,1.7656637283519967
3,2012-07-03,2016-06-09,2016-06-10,2016-11-29,120,0.5416666666666666,0.5416666666666666,0.00024576650536634975,0.17070695066794714
4,2012-07-03,2016-11-29,2016-11-30,2017-05-23,120,0.5083333333333333,0.49166666666666664,-0.0017261644661623323,-2.2811442621745277
5,2012-07-03,2017-05-23,2017-05-24,2017-11-10,120,0.5333333333333333,0.5333333333333333,0.0008373462988373169,1.6344895219633027
6,2012-07-03,2017-11-10,2017-11-13,2018-05-07,120,0.4666666666666667,0.45,0.0002707564019985241,0.4699496646553641
7,2012-07-03,2018-05-07,2018-05-08,2018-10-25,120,0.6583333333333333,0.6583333333333333,0.003681585463635702,5.004870890323056
8,2012-07-03,2018-10-25,2018-10-26,2019-04-22,120,0.525,0.525,-0.0004974955539888739,-0.6569943011902485
9,2012-07-03,2019-04-22,2019-04-23,2019-10-10,120,0.5416666666666666,0.5166666666666667,0.0018517884293427008,2.543258756040928
10,2012-07-03,2019-10-10,2019-10-11,2020-04-02,120,0.5166666666666667,0.5083333333333333,-0.0006906816057445725,-0.35175946594342594
11,2012-07-03,2020-04-02,2020-04-03,2020-09-23,120,0.48333333333333334,0.48333333333333334,0.0033857423144006303,2.4217601860973623
12,2012-07-03,2020-09-23,2020-09-24,2021-03-17,120,0.575,0.5666666666666667,0.002766410732535806,2.5412370179430375
13,2012-07-03,2021-03-17,2021-03-18,2021-09-07,120,0.6,0.5833333333333334,0.002040078866545562,2.9780201826741712
14,2012-07-03,2021-09-07,2021-09-08,2022-02-28,120,0.5916666666666667,0.5833333333333334,0.00310625016339569,3.4799324580528976
15,2012-07-03,2022-02-28,2022-03-01,2022-08-19,120,0.575,0.5583333333333333,0.00407125718607067,3.0951936611118738
16,2012-07-03,2022-08-19,2022-08-22,2023-02-10,120,0.5916666666666667,0.5833333333333334,0.002990753456439371,3.0165289543147655
17,2012-07-03,2023-02-10,2023-02-13,2023-08-04,120,0.5666666666666667,0.5583333333333333,0.001824124629196147,2.069036853561052
18,2012-07-03,2023-08-04,2023-08-07,2024-01-26,120,0.6416666666666667,0.6333333333333333,0.003024786047310335,5.352476287136229
19,2012-07-03,2024-01-26,2024-01-29,2024-07-19,120,0.5333333333333333,0.5333333333333333,0.002805506229013983,4.613718696022079
20,2012-07-03,2024-07-19,2024-07-22,2025-01-10,120,0.525,0.525,0.0006220654269996055,0.9255781727960332
21,2012-07-03,2025-01-10,2025-01-13,2025-07-07,120,0.375,0.36666666666666664,-0.001371700350759993,-1.342878148987041
22,2012-07-03,2025-07-07,2025-07-08,2025-12-24,120,0.45,0.44166666666666665,-0.0006396138618503142,-1.0811765056084328
