fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-07-03,2015-06-26,2015-06-29,2015-12-16,120,0.5083333333333333,0.5083333333333333,0.0003518554513176,0.4260696931360763
2,2012-07-03,2015-12-16,2015-12-17,2016-06-09,120,0.43333333333333335,0.43333333333333335,-0.0011786096460148045,-1.1075239559831462
3,2012-07-03,2016-06-09,2016-06-10,2016-11-29,120,0.55,0.55,0.0004851773924769894,0.33705629397460013
4,2012-07-03,2016-11-29,2016-11-30,2017-05-23,120,0.4666666666666667,0.4666666666666667,0.0014693799450850448,1.9362571435051141
5,2012-07-03,2017-05-23,2017-05-24,2017-11-10,120,0.4666666666666667,0.4666666666666667,-6.258407392205531e-05,-0.12151911705186846
6,2012-07-03,2017-11-10,2017-11-13,2018-05-07,120,0.475,0.45,-0.00020890450692084562,-0.36252901337239757
7,2012-07-03,2018-05-07,2018-05-08,2018-10-25,120,0.5166666666666667,0.5166666666666667,-5.8359563757278316e-05,-0.07563664677345368
8,2012-07-03,2018-10-25,2018-10-26,2019-04-22,120,0.475,0.475,0.0007613371423648105,1.0065916428774107
9,2012-07-03,2019-04-22,2019-04-23,2019-10-10,120,0.49166666666666664,0.49166666666666664,-0.0006863175696220821,-0.9322432398339279
10,2012-07-03,2019-10-10,2019-10-11,2020-04-02,120,0.5083333333333333,0.5,-0.0021513000248131694,-1.0980104890647175
11,2012-07-03,2020-04-02,2020-04-03,2020-09-23,120,0.4666666666666667,0.4666666666666667,0.001495124145586694,1.059474017618583
12,2012-07-03,2020-09-23,2020-09-24,2021-03-17,120,0.6166666666666667,0.6166666666666667,0.0033074226522616574,3.055210292627077
13,2012-07-03,2021-03-17,2021-03-18,2021-09-07,120,0.5166666666666667,0.5166666666666667,0.000246201151127314,0.3532697989752134
14,2012-07-03,2021-09-07,2021-09-08,2022-02-28,120,0.5583333333333333,0.5416666666666666,0.0014827262682816562,1.630866988369583
15,2012-07-03,2022-02-28,2022-03-01,2022-08-19,120,0.44166666666666665,0.44166666666666665,-0.0033518366220729955,-2.532657502271505
16,2012-07-03,2022-08-19,2022-08-22,2023-02-10,120,0.575,0.575,0.002231197456900008,2.23247556887471
17,2012-07-03,2023-02-10,2023-02-13,2023-08-04,120,0.525,0.525,-0.0007404531342092966,-0.8339238588200146
18,2012-07-03,2023-08-04,2023-08-07,2024-01-26,120,0.48333333333333334,0.48333333333333334,0.0004645122931179783,0.7795015297096735
19,2012-07-03,2024-01-26,2024-01-29,2024-07-19,120,0.45,0.43333333333333335,-0.0006949457723550979,-1.0997357411621553
20,2012-07-03,2024-07-19,2024-07-22,2025-01-10,120,0.475,0.4583333333333333,-4.265606587278518e-05,-0.06336044019118199
21,2012-07-03,2025-01-10,2025-01-13,2025-07-07,120,0.36666666666666664,0.35833333333333334,-0.0027579187124485687,-2.730105078566406
22,2012-07-03,2025-07-07,2025-07-08,2025-12-24,120,0.425,0.4166666666666667,-0.001333238020977091,-2.271489950510733
