fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-07-03,2015-06-26,2015-06-29,2015-12-16,120,0.525,0.525,0.0004828009632125365,0.5848221184607595
2,2012-07-03,2015-12-16,2015-12-17,2016-06-09,120,0.5083333333333333,0.5,0.0018946531407943769,1.7873430707068791
3,2012-07-03,2016-06-09,2016-06-10,2016-11-29,120,0.45,0.44166666666666665,-0.0013924521804890954,-0.9689419325231856
4,2012-07-03,2016-11-29,2016-11-30,2017-05-23,120,0.475,0.4583333333333333,0.00026716323806066645,0.3495249850991543
5,2012-07-03,2017-05-23,2017-05-24,2017-11-10,120,0.5083333333333333,0.5083333333333333,-0.00029443194331286635,-0.5720540164922028
6,2012-07-03,2017-11-10,2017-11-13,2018-05-07,120,0.44166666666666665,0.44166666666666665,-0.00012377309644682848,-0.21475689467045758
7,2012-07-03,2018-05-07,2018-05-08,2018-10-25,120,0.5166666666666667,0.5083333333333333,0.001372567993920043,1.7902611649755906
8,2012-07-03,2018-10-25,2018-10-26,2019-04-22,120,0.5666666666666667,0.5666666666666667,-2.6884328034666263e-05,-0.03547300109819064
9,2012-07-03,2019-04-22,2019-04-23,2019-10-10,120,0.5166666666666667,0.5,0.0011868434814560217,1.6177296163658952
10,2012-07-03,2019-10-10,2019-10-11,2020-04-02,120,0.575,0.55,0.00667498676264365,3.48006480890068
11,2012-07-03,2020-04-02,2020-04-03,2020-09-23,120,0.525,0.5083333333333333,0.00175377860018218,1.2438121588986044
12,2012-07-03,2020-09-23,2020-09-24,2021-03-17,120,0.525,0.5166666666666667,0.00011442582252448967,0.10378192013961278
13,2012-07-03,2021-03-17,2021-03-18,2021-09-07,120,0.525,0.5166666666666667,0.0003289778920956702,0.47213733168602695
14,2012-07-03,2021-09-07,2021-09-08,2022-02-28,120,0.5583333333333333,0.55,0.003825860187455842,4.340832693465999
15,2012-07-03,2022-02-28,2022-03-01,2022-08-19,120,0.5166666666666667,0.49166666666666664,-0.0001237942915106797,-0.09236306084052771
16,2012-07-03,2022-08-19,2022-08-22,2023-02-10,120,0.5666666666666667,0.5583333333333333,0.0018037872045211345,1.7986178102002066
17,2012-07-03,2023-02-10,2023-02-13,2023-08-04,120,0.5666666666666667,0.5583333333333333,0.0004497243441338903,0.5060508819461795
18,2012-07-03,2023-08-04,2023-08-07,2024-01-26,120,0.575,0.5666666666666667,0.0012068604471286918,2.0395496664686448
19,2012-07-03,2024-01-26,2024-01-29,2024-07-19,120,0.5333333333333333,0.525,-0.00022212344300677478,-0.3507440539266863
20,2012-07-03,2024-07-19,2024-07-22,2025-01-10,120,0.4666666666666667,0.4666666666666667,-6.033681232534375e-05,-0.08962377665484128
21,2012-07-03,2025-01-10,2025-01-13,2025-07-07,120,0.5166666666666667,0.5083333333333333,0.001775130006298466,1.742077092844689
22,2012-07-03,2025-07-07,2025-07-08,2025-12-24,120,0.55,0.55,0.0009892817670220757,1.677712379583038
