fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-07-03,2015-06-26,2015-06-29,2015-12-16,120,0.525,0.525,0.0010901831154862328,1.3242703348440636
2,2012-07-03,2015-12-16,2015-12-17,2016-06-09,120,0.49166666666666664,0.48333333333333334,0.001329338618370493,1.2499970872518402
3,2012-07-03,2016-06-09,2016-06-10,2016-11-29,120,0.44166666666666665,0.425,-0.0022668776287493625,-1.5823262977570125
4,2012-07-03,2016-11-29,2016-11-30,2017-05-23,120,0.475,0.4583333333333333,0.00027030217238886896,0.35363364102595357
5,2012-07-03,2017-05-23,2017-05-24,2017-11-10,120,0.425,0.425,-0.0007050486464550615,-1.374110212847828
6,2012-07-03,2017-11-10,2017-11-13,2018-05-07,120,0.5166666666666667,0.5166666666666667,0.0007261975498891709,1.2639190730519319
7,2012-07-03,2018-05-07,2018-05-08,2018-10-25,120,0.5083333333333333,0.5,0.0015192112615207717,1.9843966037502963
8,2012-07-03,2018-10-25,2018-10-26,2019-04-22,120,0.525,0.525,-0.00031569092384802486,-0.4166875925199135
9,2012-07-03,2019-04-22,2019-04-23,2019-10-10,120,0.5166666666666667,0.5,0.0007585629466449658,1.0307733229786369
10,2012-07-03,2019-10-10,2019-10-11,2020-04-02,120,0.5666666666666667,0.55,0.003934393677820281,2.01954543946364
11,2012-07-03,2020-04-02,2020-04-03,2020-09-23,120,0.5583333333333333,0.5416666666666666,0.00118870746296591,0.8416461023598996
12,2012-07-03,2020-09-23,2020-09-24,2021-03-17,120,0.5166666666666667,0.5083333333333333,0.000920566953627273,0.8360846530649474
13,2012-07-03,2021-03-17,2021-03-18,2021-09-07,120,0.5,0.49166666666666664,-8.423486349281213e-05,-0.12084051871163505
14,2012-07-03,2021-09-07,2021-09-08,2022-02-28,120,0.525,0.5166666666666667,0.0019982518338665573,2.2075091558216133
15,2012-07-03,2022-02-28,2022-03-01,2022-08-19,120,0.5,0.475,0.000696463800109363,0.5199045050407187
16,2012-07-03,2022-08-19,2022-08-22,2023-02-10,120,0.5166666666666667,0.5166666666666667,0.0003483625753557743,0.3452197386701914
17,2012-07-03,2023-02-10,2023-02-13,2023-08-04,120,0.475,0.4666666666666667,-0.0007803104623286251,-0.8789477723723343
18,2012-07-03,2023-08-04,2023-08-07,2024-01-26,120,0.5166666666666667,0.5083333333333333,0.00025769058805767594,0.4320690196361819
19,2012-07-03,2024-01-26,2024-01-29,2024-07-19,120,0.4666666666666667,0.45,-0.0012203814337336,-1.941037998647822
20,2012-07-03,2024-07-19,2024-07-22,2025-01-10,120,0.45,0.45,0.0007255275436204763,1.080187940157906
21,2012-07-03,2025-01-10,2025-01-13,2025-07-07,120,0.49166666666666664,0.48333333333333334,0.0003082139555895665,0.30070930822342523
22,2012-07-03,2025-07-07,2025-07-08,2025-12-24,120,0.5416666666666666,0.5416666666666666,0.0010424638771668077,1.7690036174105728
