,variance
INC_1,0.2495878227498352
AOBV_SR_2,0.2494959015544389
AOBV_LR_2,0.24949590155443876
DEC_1,0.2486717101795669
AMATe_LR_8_21_2,0.24715790593239978
AMATe_SR_8_21_2,0.24715790593239978
SUPERTd_7_3.0,0.24541246353534305
ZIGZAGs_5.0%_10,0.24325920749411392
CHDLREXTd_22_22_14_2.0,0.2412429768373269
SMCbf_14_50_20_5,0.20044864394622666
THERMOs_20_2_0.5,0.19002786345942435
SMCtf_14_50_20_5,0.17285360746240236
SQZPRO_ON_WIDE,0.17061552618318562
SQZPRO_OFF,0.17061552618318562
PVR,0.13587545871558387
AROONU_14,0.13546617139380773
AROOND_14,0.13267771147859814
STC_10_12_26_0.5,0.1266039810312473
CTI_12,0.11681395484578257
STCstoch_10_12_26_0.5,0.11573617828567186
STOCHRSIk_14_14_3_3,0.11081807193993101
PVT,0.1088471817108916
AROONOSC_14,0.1057306904592271
SMChv_14_50_20_5,0.1036173722739901
STOCHRSId_14_14_3_3,0.10292899288838137
STOCHFk_14_3,0.10149289294780556
WILLR_14,0.10149289294780556
AD,0.0930626538481963
STOCHk_14_3_3,0.08946580516095401
STOCHFd_14_3,0.08946580516095401
TMO_14_5_3,0.08811331536607504
PSARaf_0.02_0.2,0.08731167374853688
STOCHd_14_3_3,0.08555823458897477
TMOs_14_5_3,0.08305067226739553
BOP,0.07828216531466149
PSARr_0.02_0.2,0.07811238071654816
BBP_5_2.0_2.0,0.07428107601080164
K_9_3,0.07222001143931556
CRSI_3_2_100,0.0719672599686099
EXHC_UPa,0.07136324106168847
OBVe_12,0.0665207321108111
THERMOl_20_2_0.5,0.06582046966755521
J_9_3,0.06489461466088822
D_9_3,0.06388408015064898
TOS_STDEVALL_U_3,0.06130114589434567
TOS_STDEVALL_U_1,0.06130114589434557
TOS_STDEVALL_L_2,0.06130114589434557
TOS_STDEVALL_L_3,0.06130114589434557
TOS_STDEVALL_L_1,0.06130114589434557
TOS_STDEVALL_LR,0.06130114589434557
TOS_STDEVALL_U_2,0.061301145894345495
OBVe_4,0.05977769570354759
OBV_min_2,0.05597876924957422
ER_10,0.05507302927059879
OBV_max_2,0.05495463101541456
OBV,0.05382186007826451
SQZPRO_ON_NORMAL,0.045942409209671846
SQZ_ON,0.045942409209671846
SQZ_OFF,0.045942409209671825
EXHC_DNa,0.043406018765109036
ATRTSe_14_20_3.0,0.04058023095254619
Adj Close,0.039381330732428776
AGj_13_8_5,0.037341675410119526
ALPHAT_14_1_50,0.037302407025907425
KAMA_10_2_30,0.03716421054250524
ALPHATl_14_1_50_2,0.037097576585051854
SUPERTl_7_3.0,0.037085830948581915
KCUe_20_2,0.03702842091621213
KCBe_20_2,0.03696481589358265
RMA_10,0.036862181269431055
QTL_30_0.5,0.03668965903921184
MEDIAN_30,0.03668965903921184
ACCBU_20,0.0366252821245483
AGt_13_8_5,0.036554178995771326
SUPERTs_7_3.0,0.03650139866976686
DCU_20_20,0.03648727395593925
SMMA_7,0.036462033673365084
KCLe_20_2,0.036344929723143425
RSX_14,0.03630671756926792
EMA_10,0.036268483615455295
MCGD_10,0.03624981436780818
ACCBM_20,0.03617561394253206
CHDLREXTl_22_22_14_2.0,0.03615257012673937
CKSPs_10_3_20,0.03607434195971267
ITS_9,0.03594553274860448
AGl_13_8_5,0.03591346159686642
SSF_20,0.03582514419198135
DCM_20_20,0.03576617476171565
HT_TL,0.03571192354968362
SINWMA_14,0.03531758232018619
CKSPl_10_3_20,0.03523275867381234
IKS_26,0.03515144357286909
VWMA_10,0.03512324055349132
SMA_10,0.03496989551761666
MFI_14,0.03469121170602511
WMA_10,0.034358006945530394
CHDLREXTs_22_22_14_2.0,0.034350944383237894
TRIMA_10,0.03434551486424084
SSF3_20,0.03421126859726395
T3_10_0.7,0.034207248064464985
ICS_26,0.03419731090359501
SWMA_10,0.03415911035474077
ACCBL_20,0.034131799147532484
SUPERT_7_3.0,0.0338990805085247
PSARs_0.02_0.2,0.03387794197963667
HILOl_13_21,0.033853995960150464
DCL_20_20,0.0338368909370185
ABER_SG_5_15,0.03379975717826692
PSARl_0.02_0.2,0.033718139499994706
HILO_13_21,0.03346412659443461
HILOs_13_21,0.03341880434488644
FWMA_10,0.03330593154158758
PWMA_10,0.03328749534824245
QQEl_14_5_4.236,0.03327916953804494
ISA_9,0.03327537591456692
BBM_5_2.0_2.0,0.03325587637773875
ABER_ZG_5_15,0.03322404413066624
ALMA_9_6.0_0.85,0.03313794303696128
PIVOTS_TRAD_D_R4,0.033058865749917274
PIVOTS_TRAD_D_R3,0.033058865749917274
MAMA_0.5_0.05,0.03297099542834838
JMA_7_0.0,0.03272641119540378
BBU_5_2.0_2.0,0.03266335113570319
ISB_26,0.032544769010705514
PIVOTS_TRAD_D_R2,0.032495908815454784
MIDPOINT_2,0.0324795694801752
MIDPRICE_2,0.03229428904497399
QQEs_14_5_4.236,0.03219587871795745
