fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-06-04,2015-05-28,2015-05-29,2015-11-16,120,0.5333333333333333,0.5333333333333333,0.0001564175803913187,0.1727106928099581
2,2012-06-04,2015-11-16,2015-11-17,2016-05-10,120,0.625,0.625,0.002282619143938938,2.8820797981607607
3,2012-06-04,2016-05-10,2016-05-11,2016-10-28,120,0.625,0.625,0.003640842052957587,3.737048479783352
4,2012-06-04,2016-10-28,2016-10-31,2017-04-24,120,0.4583333333333333,0.45,-0.0013791137967227992,-2.4651163697735576
5,2012-06-04,2017-04-24,2017-04-25,2017-10-12,120,0.525,0.525,0.0007478204890059931,1.7727999006044883
6,2012-06-04,2017-10-12,2017-10-13,2018-04-06,120,0.475,0.475,0.001284294253072435,2.1843787051563694
7,2012-06-04,2018-04-06,2018-04-09,2018-09-26,120,0.6166666666666667,0.6166666666666667,0.003183742042236932,5.845055470043696
8,2012-06-04,2018-09-26,2018-09-27,2019-03-21,120,0.5916666666666667,0.5833333333333334,0.0023417155667190327,3.4894455967382214
9,2012-06-04,2019-03-21,2019-03-22,2019-09-11,120,0.575,0.575,0.0022001009599389065,4.122034511982774
10,2012-06-04,2019-09-11,2019-09-12,2020-03-04,120,0.5,0.475,0.00021000414204380702,0.32884713907235696
11,2012-06-04,2020-03-04,2020-03-05,2020-08-24,120,0.48333333333333334,0.48333333333333334,0.001887057281038887,1.005226898385232
12,2012-06-04,2020-08-24,2020-08-25,2021-02-16,120,0.45,0.45,0.0005387152199400095,0.6219991288300204
13,2012-06-04,2021-02-16,2021-02-17,2021-08-06,120,0.425,0.4083333333333333,-0.0007733668068108888,-1.2780626817936216
14,2012-06-04,2021-08-06,2021-08-09,2022-01-27,120,0.525,0.525,0.0007510200467471935,1.2460897067310412
15,2012-06-04,2022-01-27,2022-01-28,2022-07-21,120,0.5583333333333333,0.55,0.002830843262423079,2.235069536777301
16,2012-06-04,2022-07-21,2022-07-22,2023-01-11,120,0.5083333333333333,0.5083333333333333,0.0016397651842252003,1.4478979377638663
17,2012-06-04,2023-01-11,2023-01-12,2023-07-06,120,0.5166666666666667,0.5083333333333333,0.0018053943342899125,2.6113257771649128
18,2012-06-04,2023-07-06,2023-07-07,2023-12-26,120,0.5333333333333333,0.5333333333333333,0.0010243330982058615,1.6529165527308873
19,2012-06-04,2023-12-26,2023-12-27,2024-06-18,120,0.475,0.475,0.0005878221713722598,0.9947097569947777
20,2012-06-04,2024-06-18,2024-06-20,2024-12-09,120,0.5583333333333333,0.55,0.0009406471843789048,1.3959995231393565
21,2012-06-04,2024-12-09,2024-12-10,2025-06-04,120,0.5083333333333333,0.5,0.0015511921640917368,1.6419190301653217
22,2012-06-04,2025-06-04,2025-06-05,2025-11-24,120,0.6083333333333333,0.6,0.002047229583167477,3.6947097803966504
23,2012-06-04,2025-11-24,2025-11-25,2026-05-19,120,0.5333333333333333,0.4166666666666667,3.484370299892403e-05,0.046281493613574684
