fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-06-04,2015-05-28,2015-05-29,2015-11-16,120,0.55,0.55,0.0009862044558126718,1.0914589204550982
2,2012-06-04,2015-11-16,2015-11-17,2016-05-10,120,0.4583333333333333,0.4583333333333333,-0.00048503985692592013,-0.6029277337461919
3,2012-06-04,2016-05-10,2016-05-11,2016-10-28,120,0.5583333333333333,0.5583333333333333,-5.141332940607387e-05,-0.051356652795584296
4,2012-06-04,2016-10-28,2016-10-31,2017-04-24,120,0.5416666666666666,0.5416666666666666,0.0012610150898900699,2.2495398733600105
5,2012-06-04,2017-04-24,2017-04-25,2017-10-12,120,0.45,0.43333333333333335,-0.0006920409281627747,-1.6390880786384632
6,2012-06-04,2017-10-12,2017-10-13,2018-04-06,120,0.4666666666666667,0.4666666666666667,7.723141560595966e-05,0.13012629043760818
7,2012-06-04,2018-04-06,2018-04-09,2018-09-26,120,0.4583333333333333,0.4583333333333333,0.0003673747240241582,0.6331149550742535
8,2012-06-04,2018-09-26,2018-09-27,2019-03-21,120,0.5333333333333333,0.5333333333333333,0.0005765535619059847,0.8401245940355032
9,2012-06-04,2019-03-21,2019-03-22,2019-09-11,120,0.5583333333333333,0.55,0.0015798331285912747,2.9123535137454755
10,2012-06-04,2019-09-11,2019-09-12,2020-03-04,120,0.5,0.475,0.00033883304980866037,0.5307654895291939
11,2012-06-04,2020-03-04,2020-03-05,2020-08-24,120,0.5833333333333334,0.5833333333333334,0.002836117099735731,1.5146464881900445
12,2012-06-04,2020-08-24,2020-08-25,2021-02-16,120,0.425,0.425,0.0006544659136749138,0.7559230826817822
13,2012-06-04,2021-02-16,2021-02-17,2021-08-06,120,0.43333333333333335,0.4166666666666667,-0.0008306442503312389,-1.3734088032189875
14,2012-06-04,2021-08-06,2021-08-09,2022-01-27,120,0.5166666666666667,0.5083333333333333,0.0004658595930870905,0.7714793809580549
15,2012-06-04,2022-01-27,2022-01-28,2022-07-21,120,0.525,0.525,0.002678831676996853,2.112844051755682
16,2012-06-04,2022-07-21,2022-07-22,2023-01-11,120,0.43333333333333335,0.43333333333333335,8.472788332174278e-05,0.07450294171769639
17,2012-06-04,2023-01-11,2023-01-12,2023-07-06,120,0.43333333333333335,0.425,-0.00034189172301131996,-0.48813350377480624
18,2012-06-04,2023-07-06,2023-07-07,2023-12-26,120,0.4666666666666667,0.4666666666666667,-0.0007182943577457191,-1.1558696180141868
19,2012-06-04,2023-12-26,2023-12-27,2024-06-18,120,0.425,0.425,-0.0006042695536070748,-1.022656821006365
20,2012-06-04,2024-06-18,2024-06-20,2024-12-09,120,0.5333333333333333,0.525,0.00023584675196900256,0.34874439695166404
21,2012-06-04,2024-12-09,2024-12-10,2025-06-04,120,0.4,0.39166666666666666,-0.0016661201377843743,-1.7650325841677688
22,2012-06-04,2025-06-04,2025-06-05,2025-11-24,120,0.48333333333333334,0.475,-0.0003194140839347298,-0.5616848413536648
23,2012-06-04,2025-11-24,2025-11-25,2026-05-19,120,0.525,0.4083333333333333,-0.0005919321427697401,-0.7872106103487585
