fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-06-04,2015-05-28,2015-05-29,2015-11-16,120,0.5,0.5,-0.0007028639907372209,-0.7769677001901512
2,2012-06-04,2015-11-16,2015-11-17,2016-05-10,120,0.525,0.525,0.00047829894056799956,0.5945365166033088
3,2012-06-04,2016-05-10,2016-05-11,2016-10-28,120,0.55,0.55,0.0006488265684634296,0.6486532731024106
4,2012-06-04,2016-10-28,2016-10-31,2017-04-24,120,0.525,0.5166666666666667,0.0005365527799566172,0.9493236239891513
5,2012-06-04,2017-04-24,2017-04-25,2017-10-12,120,0.525,0.5083333333333333,-9.890818949983097e-05,-0.23303862776461629
6,2012-06-04,2017-10-12,2017-10-13,2018-04-06,120,0.5166666666666667,0.5166666666666667,0.00016028109916149205,0.2700859730406455
7,2012-06-04,2018-04-06,2018-04-09,2018-09-26,120,0.55,0.55,0.0006667592470584118,1.1511788700709613
8,2012-06-04,2018-09-26,2018-09-27,2019-03-21,120,0.5083333333333333,0.5083333333333333,-0.00033280195357280885,-0.4844861137565923
9,2012-06-04,2019-03-21,2019-03-22,2019-09-11,120,0.4166666666666667,0.4083333333333333,-0.0005077774534891101,-0.922138361599423
10,2012-06-04,2019-09-11,2019-09-12,2020-03-04,120,0.44166666666666665,0.43333333333333335,-0.00042392765093114036,-0.6642737540206833
11,2012-06-04,2020-03-04,2020-03-05,2020-08-24,120,0.5333333333333333,0.5333333333333333,0.0033467299526029957,1.7905713536773369
12,2012-06-04,2020-08-24,2020-08-25,2021-02-16,120,0.5166666666666667,0.5166666666666667,5.0618485249962854e-05,0.058399176412761024
13,2012-06-04,2021-02-16,2021-02-17,2021-08-06,120,0.44166666666666665,0.43333333333333335,-0.0007680093116445454,-1.2691516402809424
14,2012-06-04,2021-08-06,2021-08-09,2022-01-27,120,0.4666666666666667,0.4666666666666667,0.0007965156503185781,1.3220886526241507
15,2012-06-04,2022-01-27,2022-01-28,2022-07-21,120,0.4666666666666667,0.4666666666666667,0.00015616683118242306,0.12208968647291527
16,2012-06-04,2022-07-21,2022-07-22,2023-01-11,120,0.49166666666666664,0.49166666666666664,0.00043064032399522945,0.37877522566112726
17,2012-06-04,2023-01-11,2023-01-12,2023-07-06,120,0.5,0.5,-0.0013124870001928052,-1.8862881611166264
18,2012-06-04,2023-07-06,2023-07-07,2023-12-26,120,0.5,0.5,0.00033038706115440426,0.5305374299497886
19,2012-06-04,2023-12-26,2023-12-27,2024-06-18,120,0.5166666666666667,0.5166666666666667,-0.0011801877939410363,-2.009200284174188
20,2012-06-04,2024-06-18,2024-06-20,2024-12-09,120,0.5083333333333333,0.5083333333333333,-0.0006331151712481035,-0.9375985716380199
21,2012-06-04,2024-12-09,2024-12-10,2025-06-04,120,0.5333333333333333,0.5333333333333333,0.00012215955113609642,0.12861686436068323
22,2012-06-04,2025-06-04,2025-06-05,2025-11-24,120,0.425,0.425,-0.0010713023859559218,-1.896176379312847
23,2012-06-04,2025-11-24,2025-11-25,2026-05-19,120,0.35,0.35,-0.001085562087768846,-1.4479381707848535
