fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-06-04,2015-05-28,2015-05-29,2015-11-16,120,0.5166666666666667,0.5166666666666667,0.0003578542467873693,0.39522973529416205
2,2012-06-04,2015-11-16,2015-11-17,2016-05-10,120,0.5,0.5,-0.0002562948593049665,-0.3184198739974108
3,2012-06-04,2016-05-10,2016-05-11,2016-10-28,120,0.5666666666666667,0.5666666666666667,0.0011172322793826877,1.1187861538621788
4,2012-06-04,2016-10-28,2016-10-31,2017-04-24,120,0.55,0.5416666666666666,0.0008212053208536093,1.4564898184853485
5,2012-06-04,2017-04-24,2017-04-25,2017-10-12,120,0.55,0.5333333333333333,0.00023984407785818582,0.5653990547274127
6,2012-06-04,2017-10-12,2017-10-13,2018-04-06,120,0.55,0.55,0.0009796578768412898,1.6596291487556594
7,2012-06-04,2018-04-06,2018-04-09,2018-09-26,120,0.55,0.55,0.0011100483292212572,1.9255972106245747
8,2012-06-04,2018-09-26,2018-09-27,2019-03-21,120,0.4583333333333333,0.4583333333333333,-0.0007636259333329842,-1.1139039963723747
9,2012-06-04,2019-03-21,2019-03-22,2019-09-11,120,0.475,0.4666666666666667,-0.00035885398117991386,-0.6511347969082574
10,2012-06-04,2019-09-11,2019-09-12,2020-03-04,120,0.4583333333333333,0.45,-0.0004737316813614334,-0.7424773050220783
11,2012-06-04,2020-03-04,2020-03-05,2020-08-24,120,0.5416666666666666,0.5416666666666666,0.0043873405432836585,2.3582151083716627
12,2012-06-04,2020-08-24,2020-08-25,2021-02-16,120,0.5916666666666667,0.5916666666666667,0.0009002392388543982,1.0408590270841478
13,2012-06-04,2021-02-16,2021-02-17,2021-08-06,120,0.4583333333333333,0.45,-0.0014800369306616388,-2.467467545359927
14,2012-06-04,2021-08-06,2021-08-09,2022-01-27,120,0.45,0.45,0.0007179123022310793,1.1908385064147695
15,2012-06-04,2022-01-27,2022-01-28,2022-07-21,120,0.4666666666666667,0.4666666666666667,0.001390599680173399,1.0897044734386703
16,2012-06-04,2022-07-21,2022-07-22,2023-01-11,120,0.5333333333333333,0.525,0.0005556074248276162,0.4887848999161828
17,2012-06-04,2023-01-11,2023-01-12,2023-07-06,120,0.4666666666666667,0.4666666666666667,-0.002098955387424953,-3.050604057818404
18,2012-06-04,2023-07-06,2023-07-07,2023-12-26,120,0.5583333333333333,0.5583333333333333,0.0008659131549594227,1.39510718069188
19,2012-06-04,2023-12-26,2023-12-27,2024-06-18,120,0.44166666666666665,0.44166666666666665,-0.0017034893979655853,-2.925806576473523
20,2012-06-04,2024-06-18,2024-06-20,2024-12-09,120,0.5166666666666667,0.5166666666666667,-0.00020211795214144143,-0.29885062208062335
21,2012-06-04,2024-12-09,2024-12-10,2025-06-04,120,0.5,0.5,9.462013830863851e-05,0.09962040827826728
22,2012-06-04,2025-06-04,2025-06-05,2025-11-24,120,0.44166666666666665,0.44166666666666665,-0.0008691645563028715,-1.5346294238005802
23,2012-06-04,2025-11-24,2025-11-25,2026-05-19,120,0.3416666666666667,0.3416666666666667,-0.0005953144341496843,-0.791719970373223
