fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2016-11-09,2019-11-01,2019-11-04,2020-04-27,120,0.5333333333333333,0.525,0.0007581361350335704,0.4597411648887266
2,2016-11-09,2020-04-27,2020-04-28,2020-10-15,120,0.475,0.475,9.164507403919275e-06,0.010235272088375033
3,2016-11-09,2020-10-15,2020-10-16,2021-04-09,120,0.4,0.39166666666666666,-0.002178241957014886,-3.3095055058945984
4,2016-11-09,2021-04-09,2021-04-12,2021-09-29,120,0.43333333333333335,0.43333333333333335,-0.00010090574098470806,-0.18628192807791408
5,2016-11-09,2021-09-29,2021-09-30,2022-03-22,120,0.4166666666666667,0.4166666666666667,0.00015880852549704041,0.1891899976182738
6,2016-11-09,2022-03-22,2022-03-23,2022-09-13,120,0.49166666666666664,0.49166666666666664,-0.0006787416048055245,-0.7003346288731567
7,2016-11-09,2022-09-13,2022-09-14,2023-03-07,120,0.5166666666666667,0.5166666666666667,0.0018584922567794824,2.0659830103683228
8,2016-11-09,2023-03-07,2023-03-08,2023-08-28,120,0.55,0.55,0.0010865854797243242,1.7532735577988523
9,2016-11-09,2023-08-28,2023-08-29,2024-02-20,120,0.6083333333333333,0.6083333333333333,0.0017309122498942832,3.1993808877608827
10,2016-11-09,2024-02-20,2024-02-21,2024-08-12,120,0.475,0.475,-0.00036035037726717307,-0.6648934638356857
11,2016-11-09,2024-08-12,2024-08-13,2025-02-04,120,0.5083333333333333,0.5083333333333333,-8.306947670268701e-05,-0.15264716833533878
12,2016-11-09,2025-02-04,2025-02-05,2025-07-29,120,0.425,0.4083333333333333,-0.00035636966913639526,-0.41831909768862985
13,2016-11-09,2025-07-29,2025-07-30,2026-01-20,120,0.45,0.45,-0.0006447431816062814,-1.4485012108966862
