fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2016-11-09,2019-11-01,2019-11-04,2020-04-27,120,0.5,0.49166666666666664,-0.00025381243839872706,-0.1538565827640878
2,2016-11-09,2020-04-27,2020-04-28,2020-10-15,120,0.5166666666666667,0.5166666666666667,0.00171923212873941,1.9344261463141235
3,2016-11-09,2020-10-15,2020-10-16,2021-04-09,120,0.4083333333333333,0.4,-0.0010123496839500414,-1.512346409257074
4,2016-11-09,2021-04-09,2021-04-12,2021-09-29,120,0.43333333333333335,0.43333333333333335,-0.00010090574098470806,-0.18628192807791408
5,2016-11-09,2021-09-29,2021-09-30,2022-03-22,120,0.475,0.4666666666666667,0.0004176257359997391,0.49773212724235527
6,2016-11-09,2022-03-22,2022-03-23,2022-09-13,120,0.48333333333333334,0.48333333333333334,0.0009647990067279667,0.9964909264215923
7,2016-11-09,2022-09-13,2022-09-14,2023-03-07,120,0.48333333333333334,0.48333333333333334,0.0016329161446851416,1.8116980638351028
8,2016-11-09,2023-03-07,2023-03-08,2023-08-28,120,0.5166666666666667,0.5,-0.00026599932982518946,-0.42674626251152276
9,2016-11-09,2023-08-28,2023-08-29,2024-02-20,120,0.4666666666666667,0.4583333333333333,-0.00011388586081939138,-0.20633863969603322
10,2016-11-09,2024-02-20,2024-02-21,2024-08-12,120,0.475,0.475,-0.00036035037726717307,-0.6648934638356857
11,2016-11-09,2024-08-12,2024-08-13,2025-02-04,120,0.5,0.5,-9.192024037930624e-05,-0.16891296042764484
12,2016-11-09,2025-02-04,2025-02-05,2025-07-29,120,0.43333333333333335,0.4166666666666667,-0.0010760005134425063,-1.266651391593081
13,2016-11-09,2025-07-29,2025-07-30,2026-01-20,120,0.43333333333333335,0.43333333333333335,-0.0009544492449812999,-2.155103318154791
