fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2016-11-09,2019-11-01,2019-11-04,2020-04-27,120,0.49166666666666664,0.48333333333333334,0.0011398288904715384,0.6915720993516061
2,2016-11-09,2020-04-27,2020-04-28,2020-10-15,120,0.5166666666666667,0.5166666666666667,0.00034320633266451777,0.3834185955070995
3,2016-11-09,2020-10-15,2020-10-16,2021-04-09,120,0.49166666666666664,0.49166666666666664,-0.00033730965645375013,-0.5018684193318882
4,2016-11-09,2021-04-09,2021-04-12,2021-09-29,120,0.45,0.45,-0.0007388105266123398,-1.3689262415506351
5,2016-11-09,2021-09-29,2021-09-30,2022-03-22,120,0.48333333333333334,0.475,-0.00019471229723437382,-0.23197083849158007
6,2016-11-09,2022-03-22,2022-03-23,2022-09-13,120,0.4166666666666667,0.4,-0.0007282885367555734,-0.751569429515948
7,2016-11-09,2022-09-13,2022-09-14,2023-03-07,120,0.5416666666666666,0.5416666666666666,0.0007393437297833344,0.8160423710551707
8,2016-11-09,2023-03-07,2023-03-08,2023-08-28,120,0.4166666666666667,0.4166666666666667,-0.0006263713800163421,-1.0065642582279668
9,2016-11-09,2023-08-28,2023-08-29,2024-02-20,120,0.4666666666666667,0.4666666666666667,-0.0007547491019596111,-1.3724832510801837
10,2016-11-09,2024-02-20,2024-02-21,2024-08-12,120,0.44166666666666665,0.44166666666666665,-0.0006355651523836399,-1.1748962558889833
11,2016-11-09,2024-08-12,2024-08-13,2025-02-04,120,0.5333333333333333,0.5333333333333333,0.000983512463218511,1.8191291714077849
12,2016-11-09,2025-02-04,2025-02-05,2025-07-29,120,0.525,0.525,0.0003706160013899118,0.4350543595332018
13,2016-11-09,2025-07-29,2025-07-30,2026-01-20,120,0.55,0.55,0.00027692854715584875,0.6200376788792982
