fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-06-04,2015-05-28,2015-05-29,2015-11-16,120,0.5416666666666666,0.5416666666666666,0.0011489004035553502,1.632603585229735
2,2012-06-04,2015-11-16,2015-11-17,2016-05-10,120,0.5666666666666667,0.5666666666666667,0.0016037351252247496,2.503562435958043
3,2012-06-04,2016-05-10,2016-05-11,2016-10-28,120,0.48333333333333334,0.48333333333333334,-0.0005162411730384943,-1.1295660788426343
4,2012-06-04,2016-10-28,2016-10-31,2017-04-24,120,0.4666666666666667,0.4666666666666667,-0.0009818457382553898,-3.1582175880860137
5,2012-06-04,2017-04-24,2017-04-25,2017-10-12,120,0.4166666666666667,0.4083333333333333,-0.0005663796688766885,-2.0402119091306115
6,2012-06-04,2017-10-12,2017-10-13,2018-04-06,120,0.45,0.45,0.0009733277970463129,1.5466819732871577
7,2012-06-04,2018-04-06,2018-04-09,2018-09-26,120,0.4583333333333333,0.45,-0.0006501917341278002,-1.7962864203571147
8,2012-06-04,2018-09-26,2018-09-27,2019-03-21,120,0.4666666666666667,0.4666666666666667,-0.000293196000448447,-0.36954264798880554
9,2012-06-04,2019-03-21,2019-03-22,2019-09-11,120,0.55,0.55,0.0007184045973070948,1.3207069172186285
10,2012-06-04,2019-09-11,2019-09-12,2020-03-04,120,0.44166666666666665,0.44166666666666665,0.000814714613200924,1.1556897405040074
11,2012-06-04,2020-03-04,2020-03-05,2020-08-24,120,0.425,0.425,0.0003758556973197639,0.21168006222980956
12,2012-06-04,2020-08-24,2020-08-25,2021-02-16,120,0.43333333333333335,0.43333333333333335,-0.0011542649885886926,-1.6632608816360217
13,2012-06-04,2021-02-16,2021-02-17,2021-08-06,120,0.45,0.45,-0.0010304288628700624,-2.083378951557261
14,2012-06-04,2021-08-06,2021-08-09,2022-01-27,120,0.44166666666666665,0.44166666666666665,-0.0008311232763725678,-1.4931543096648499
15,2012-06-04,2022-01-27,2022-01-28,2022-07-21,120,0.525,0.525,0.001680213143417598,1.6596405217792138
16,2012-06-04,2022-07-21,2022-07-22,2023-01-11,120,0.475,0.475,0.0008283861610048691,0.8917894118131057
17,2012-06-04,2023-01-11,2023-01-12,2023-07-06,120,0.475,0.475,-0.0003704609127731434,-0.6573600740523216
18,2012-06-04,2023-07-06,2023-07-07,2023-12-26,120,0.43333333333333335,0.43333333333333335,-0.000427440544415029,-0.8918383341630969
19,2012-06-04,2023-12-26,2023-12-27,2024-06-18,120,0.55,0.55,0.0013932034493476409,3.2521088246702243
20,2012-06-04,2024-06-18,2024-06-20,2024-12-09,120,0.475,0.475,0.000607665421528005,1.1314668627037623
21,2012-06-04,2024-12-09,2024-12-10,2025-06-04,120,0.4583333333333333,0.4583333333333333,0.0006950061235245858,0.6985562293411933
22,2012-06-04,2025-06-04,2025-06-05,2025-11-24,120,0.4166666666666667,0.4166666666666667,-0.0009369534686259293,-2.1172976276020194
23,2012-06-04,2025-11-24,2025-11-25,2026-05-19,120,0.525,0.4083333333333333,-0.0005499421459737817,-1.127470258243375
