fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-06-04,2015-05-28,2015-05-29,2015-11-16,120,0.525,0.525,0.00017710972920493377,0.25037528312021146
2,2012-06-04,2015-11-16,2015-11-17,2016-05-10,120,0.48333333333333334,0.48333333333333334,0.00024364211864892719,0.37576960830903594
3,2012-06-04,2016-05-10,2016-05-11,2016-10-28,120,0.48333333333333334,0.48333333333333334,-0.00026852116511160427,-0.5864490605759124
4,2012-06-04,2016-10-28,2016-10-31,2017-04-24,120,0.4666666666666667,0.4666666666666667,-0.0009818457382553898,-3.1582175880860137
5,2012-06-04,2017-04-24,2017-04-25,2017-10-12,120,0.4166666666666667,0.4083333333333333,-0.0005663796688766885,-2.0402119091306115
6,2012-06-04,2017-10-12,2017-10-13,2018-04-06,120,0.425,0.425,-0.0002451748942836775,-0.38786426697953885
7,2012-06-04,2018-04-06,2018-04-09,2018-09-26,120,0.45,0.44166666666666665,-0.0009210957320503893,-2.5614184425799698
8,2012-06-04,2018-09-26,2018-09-27,2019-03-21,120,0.49166666666666664,0.49166666666666664,0.0002599193801345906,0.3275818126387877
9,2012-06-04,2019-03-21,2019-03-22,2019-09-11,120,0.45,0.45,-0.0006629907425398245,-1.218204301741563
10,2012-06-04,2019-09-11,2019-09-12,2020-03-04,120,0.4166666666666667,0.4166666666666667,-8.122300084481282e-05,-0.1149128984368102
11,2012-06-04,2020-03-04,2020-03-05,2020-08-24,120,0.4083333333333333,0.4083333333333333,0.0001587846403703778,0.0894201351949617
12,2012-06-04,2020-08-24,2020-08-25,2021-02-16,120,0.43333333333333335,0.43333333333333335,-0.0011542649885886926,-1.6632608816360217
13,2012-06-04,2021-02-16,2021-02-17,2021-08-06,120,0.45,0.45,-0.0010304288628700624,-2.083378951557261
14,2012-06-04,2021-08-06,2021-08-09,2022-01-27,120,0.4583333333333333,0.4583333333333333,-3.233638695204026e-05,-0.05783689038804099
15,2012-06-04,2022-01-27,2022-01-28,2022-07-21,120,0.525,0.525,0.0007925440306861107,0.7795071323707116
16,2012-06-04,2022-07-21,2022-07-22,2023-01-11,120,0.6166666666666667,0.6166666666666667,0.0024697861752593967,2.692837652929216
17,2012-06-04,2023-01-11,2023-01-12,2023-07-06,120,0.475,0.475,-0.0008741107596516519,-1.5572171663280625
18,2012-06-04,2023-07-06,2023-07-07,2023-12-26,120,0.4166666666666667,0.4166666666666667,-0.0007175464175763331,-1.501483560435686
19,2012-06-04,2023-12-26,2023-12-27,2024-06-18,120,0.44166666666666665,0.44166666666666665,-0.001148228907560267,-2.662263863133046
20,2012-06-04,2024-06-18,2024-06-20,2024-12-09,120,0.38333333333333336,0.38333333333333336,-0.0008744490666335795,-1.6326996895578907
21,2012-06-04,2024-12-09,2024-12-10,2025-06-04,120,0.4583333333333333,0.4583333333333333,1.5068983121773367e-05,0.015131196569606204
22,2012-06-04,2025-06-04,2025-06-05,2025-11-24,120,0.4166666666666667,0.4166666666666667,-0.0011041021121325444,-2.503757407154999
23,2012-06-04,2025-11-24,2025-11-25,2026-05-19,120,0.525,0.4083333333333333,-0.0005499421459737817,-1.127470258243375
