fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-06-04,2015-05-28,2015-05-29,2015-11-16,120,0.475,0.475,-0.00032008212131640903,-0.4526201955374795
2,2012-06-04,2015-11-16,2015-11-17,2016-05-10,120,0.4083333333333333,0.4083333333333333,-0.0011706370823893531,-1.8168472838106455
3,2012-06-04,2016-05-10,2016-05-11,2016-10-28,120,0.48333333333333334,0.48333333333333334,-0.00046123204290820786,-1.0086834605608368
4,2012-06-04,2016-10-28,2016-10-31,2017-04-24,120,0.5333333333333333,0.5333333333333333,0.0003127287624195174,0.9883601242031189
5,2012-06-04,2017-04-24,2017-04-25,2017-10-12,120,0.48333333333333334,0.475,-0.0006657958782341757,-2.405992811994106
6,2012-06-04,2017-10-12,2017-10-13,2018-04-06,120,0.49166666666666664,0.49166666666666664,0.00041848489604926576,0.6624206093553755
7,2012-06-04,2018-04-06,2018-04-09,2018-09-26,120,0.5333333333333333,0.525,0.00046423003442339533,1.2784897703048987
8,2012-06-04,2018-09-26,2018-09-27,2019-03-21,120,0.55,0.55,0.0006328790597078647,0.7984760922112265
9,2012-06-04,2019-03-21,2019-03-22,2019-09-11,120,0.49166666666666664,0.49166666666666664,0.00018121183871071532,0.33205445594889765
10,2012-06-04,2019-09-11,2019-09-12,2020-03-04,120,0.4583333333333333,0.4583333333333333,0.0009678990997895718,1.3744970669166063
11,2012-06-04,2020-03-04,2020-03-05,2020-08-24,120,0.525,0.525,-0.000575696961873475,-0.32426880550243337
12,2012-06-04,2020-08-24,2020-08-25,2021-02-16,120,0.575,0.575,0.0014781599728529392,2.137568906910838
13,2012-06-04,2021-02-16,2021-02-17,2021-08-06,120,0.48333333333333334,0.48333333333333334,-0.0008932547262015811,-1.802147206345093
14,2012-06-04,2021-08-06,2021-08-09,2022-01-27,120,0.5416666666666666,0.5416666666666666,0.0002087293994338879,0.3734352424130189
15,2012-06-04,2022-01-27,2022-01-28,2022-07-21,120,0.4083333333333333,0.4083333333333333,-0.0023352453572718654,-2.3185880706025457
16,2012-06-04,2022-07-21,2022-07-22,2023-01-11,120,0.4583333333333333,0.4583333333333333,-0.001850880506596772,-2.005323099248113
17,2012-06-04,2023-01-11,2023-01-12,2023-07-06,120,0.48333333333333334,0.48333333333333334,-0.0004786269466400696,-0.8497858574103235
18,2012-06-04,2023-07-06,2023-07-07,2023-12-26,120,0.55,0.55,0.0013496213709335292,2.8570093302850523
19,2012-06-04,2023-12-26,2023-12-27,2024-06-18,120,0.44166666666666665,0.44166666666666665,-0.0011185033618318963,-2.591465277612709
20,2012-06-04,2024-06-18,2024-06-20,2024-12-09,120,0.5083333333333333,0.5083333333333333,0.0007623228104019146,1.421528195343675
21,2012-06-04,2024-12-09,2024-12-10,2025-06-04,120,0.5083333333333333,0.5083333333333333,0.0013797488499766688,1.3907961927506685
22,2012-06-04,2025-06-04,2025-06-05,2025-11-24,120,0.5333333333333333,0.5333333333333333,-0.00044256478786782274,-0.9931968647105207
23,2012-06-04,2025-11-24,2025-11-25,2026-05-19,120,0.39166666666666666,0.39166666666666666,-0.0008774813833619694,-1.8060939108153213
