fold,train_start,train_end,test_start,test_end,n_test,accuracy,hit_rate,mean_return,sharpe
1,2012-06-04,2015-05-28,2015-05-29,2015-11-16,120,0.4583333333333333,0.4583333333333333,0.0002818030982252593,0.39845405094015596
2,2012-06-04,2015-11-16,2015-11-17,2016-05-10,120,0.43333333333333335,0.43333333333333335,-0.0005479220361758759,-0.8460313554974999
3,2012-06-04,2016-05-10,2016-05-11,2016-10-28,120,0.49166666666666664,0.49166666666666664,-0.0005286559117330975,-1.15687402058559
4,2012-06-04,2016-10-28,2016-10-31,2017-04-24,120,0.5166666666666667,0.5166666666666667,0.000423000727572966,1.3390407666084847
5,2012-06-04,2017-04-24,2017-04-25,2017-10-12,120,0.49166666666666664,0.48333333333333334,-0.0006067548297905965,-2.1883439220597705
6,2012-06-04,2017-10-12,2017-10-13,2018-04-06,120,0.45,0.45,0.00012061751715221522,0.1907722044459891
7,2012-06-04,2018-04-06,2018-04-09,2018-09-26,120,0.55,0.5416666666666666,0.0005034206239279554,1.3872192257191458
8,2012-06-04,2018-09-26,2018-09-27,2019-03-21,120,0.5083333333333333,0.5083333333333333,0.0005817311893855546,0.7337998672253748
9,2012-06-04,2019-03-21,2019-03-22,2019-09-11,120,0.44166666666666665,0.44166666666666665,-0.0003688598295401043,-0.6763717737150419
10,2012-06-04,2019-09-11,2019-09-12,2020-03-04,120,0.5583333333333333,0.5583333333333333,0.0013847596918772067,1.9743018115945647
11,2012-06-04,2020-03-04,2020-03-05,2020-08-24,120,0.4666666666666667,0.4666666666666667,-0.0009143143299077486,-0.5151644660597949
12,2012-06-04,2020-08-24,2020-08-25,2021-02-16,120,0.5416666666666666,0.5416666666666666,0.0010548945577040975,1.5186866806449562
13,2012-06-04,2021-02-16,2021-02-17,2021-08-06,120,0.475,0.475,-0.0008731249874484166,-1.7610254587951342
14,2012-06-04,2021-08-06,2021-08-09,2022-01-27,120,0.5583333333333333,0.5583333333333333,0.000694742224235347,1.2464650206168242
15,2012-06-04,2022-01-27,2022-01-28,2022-07-21,120,0.44166666666666665,0.44166666666666665,-0.000801008785540272,-0.7878532165720324
16,2012-06-04,2022-07-21,2022-07-22,2023-01-11,120,0.49166666666666664,0.49166666666666664,-0.000579486676863684,-0.6233333056928823
17,2012-06-04,2023-01-11,2023-01-12,2023-07-06,120,0.4583333333333333,0.4583333333333333,-0.0009073022256989111,-1.6169545505825458
18,2012-06-04,2023-07-06,2023-07-07,2023-12-26,120,0.5583333333333333,0.5583333333333333,0.0011021192237137896,2.3204818547698016
19,2012-06-04,2023-12-26,2023-12-27,2024-06-18,120,0.39166666666666666,0.39166666666666666,-0.0016509236924034,-3.8870861546267967
20,2012-06-04,2024-06-18,2024-06-20,2024-12-09,120,0.575,0.575,0.0009078301783553399,1.6957300025980317
21,2012-06-04,2024-12-09,2024-12-10,2025-06-04,120,0.525,0.525,0.0005069193521743241,0.5092760482457592
22,2012-06-04,2025-06-04,2025-06-05,2025-11-24,120,0.525,0.525,-0.0002740660750078052,-0.6143077062942526
23,2012-06-04,2025-11-24,2025-11-25,2026-05-19,120,0.375,0.375,-0.0008699626935893943,-1.7904190332599546
