,variance
AOBV_LR_2,0.24802067310412326
AOBV_SR_2,0.24802067310412326
INC_1,0.24756032516425291
DEC_1,0.2473867275692807
SUPERTd_7_3.0,0.23534208477977855
AMATe_LR_8_21_2,0.22832048920672673
AMATe_SR_8_21_2,0.22832048920672673
SQZPRO_ON_WIDE,0.21448426121006073
SQZPRO_OFF,0.2144842612100607
CHDLREXTd_22_22_14_2.0,0.20222524070346198
THERMOs_20_2_0.5,0.18687708564937827
SMCbf_14_50_20_5,0.1738495290863012
STC_10_12_26_0.5,0.1609789974391186
STCstoch_10_12_26_0.5,0.143874743345633
AROOND_14,0.13021103109573293
AROONU_14,0.12582279620142686
PVR,0.1254730391186321
SMChv_14_50_20_5,0.11564388347329943
SMCtf_14_50_20_5,0.10825913527121118
CTI_12,0.10460169470140916
STOCHRSIk_14_14_3_3,0.10456215815947129
PSARaf_0.02_0.2,0.10121962016467333
AROONOSC_14,0.10111411995955331
STOCHRSId_14_14_3_3,0.09565730462210649
STOCHFk_14_3,0.09208062191482382
WILLR_14,0.0920806219148238
PSARr_0.02_0.2,0.09154379841531349
TMO_14_5_3,0.0850917185588892
EXHC_UPa,0.08349283690721741
BBP_5_2.0_2.0,0.08293825869953832
STOCHk_14_3_3,0.0799981884361604
STOCHFd_14_3,0.0799981884361604
TMOs_14_5_3,0.0798924074934772
SQZ_ON,0.07721804776690148
SQZPRO_ON_NORMAL,0.07721804776690148
SQZ_OFF,0.07721804776690147
STOCHd_14_3_3,0.0767727136572543
BOP,0.07376862222778911
CRSI_3_2_100,0.07151511808870809
ACCBU_20,0.06724123725659388
QTL_30_0.5,0.06651572576028905
MEDIAN_30,0.06651572576028905
HT_TL,0.06644267305712111
KCUe_20_2,0.06609507699108677
DCM_20_20,0.06596018389463068
HILOl_13_21,0.06591554710373505
AGj_13_8_5,0.06586691187683297
ACCBM_20,0.06575102287474321
IKS_26,0.06555486924414973
MCGD_10,0.06540566300365173
K_9_3,0.06540355637225032
PSARs_0.02_0.2,0.065270106715816
SUPERTl_7_3.0,0.06520654707643718
ATRTSe_14_20_3.0,0.06518801930276101
HILO_13_21,0.06517483343141268
KCBe_20_2,0.0651738849477474
RMA_10,0.0650058548949353
ACCBL_20,0.06493132594959576
CKSPl_10_3_20,0.06487515931791331
DCU_20_20,0.06464416943657729
SUPERT_7_3.0,0.06449527898096526
SUPERTs_7_3.0,0.06439712432115419
AGt_13_8_5,0.0642393892140513
KCLe_20_2,0.06423455085363455
HILOs_13_21,0.0641300224979704
ISA_9,0.06410096418044417
CHDLREXTl_22_22_14_2.0,0.06401876119174006
ALPHAT_14_1_50,0.06390146279105224
SMMA_7,0.06380000842934877
ALPHATl_14_1_50_2,0.063750075164733
THERMOl_20_2_0.5,0.06350093641153945
ISB_26,0.06330035202574263
Adj Close,0.06326752176377494
SINWMA_14,0.06315109861257467
EMA_10,0.06309823377881123
SSF_20,0.06306109276504396
ICS_26,0.06297353598918819
BBU_5_2.0_2.0,0.06293018140575349
AGl_13_8_5,0.06286496366518093
PIVOTS_TRAD_D_R2,0.06267802252008457
SMA_10,0.06261508127839308
TRIMA_10,0.06259672369528163
LDECAY_1,0.06253261393655535
ABER_SG_5_15,0.0624728945064699
SWMA_10,0.062472473078309956
T3_10_0.7,0.06241960531375674
